Year_Month,Travel_Mode,Card_type,Trip
2016-07,Bus,Adult,13146432
2016-07,Bus,Child/Youth,1079640
2016-07,Bus,Concession,1845322
2016-07,Bus,Employee,64989
2016-07,Bus,Free Travel,25228
2016-07,Bus,School Student,1297240
2016-07,Bus,Senior/Pensioner,3739658
2016-07,Ferry,Adult,861272
2016-07,Ferry,Child/Youth,108450
2016-07,Ferry,Concession,71362
2016-07,Ferry,Employee,5251
2016-07,Ferry,Free Travel,1317
2016-07,Ferry,School Student,1295
2016-07,Ferry,Senior/Pensioner,152188
2016-07,Ferry,Sgl Trip Ferry Adult,10030
2016-07,Ferry,Sgl Trip Ferry Child/Youth,2547
2016-07,Light rail,Adult,595732
2016-07,Light rail,Child/Youth,48667
2016-07,Light rail,Concession,27107
2016-07,Light rail,Employee,2
2016-07,Light rail,Free Travel,693
2016-07,Light rail,LR-MST,24913
2016-07,Light rail,School Student,994
2016-07,Light rail,Senior/Pensioner,128228
2016-07,Light rail,Sgl Trip LR Adult,1094
2016-07,Light rail,Sgl Trip LR Child/Youth,302
2016-07,Train,Adult,22145198
2016-07,Train,Child/Youth,1107160
2016-07,Train,Concession,2105013
2016-07,Train,Employee,264074
2016-07,Train,Free Travel,24395
2016-07,Train,School Student,511309
2016-07,Train,Senior/Pensioner,2567262
2016-07,Train,Sgl Trip Rail Adult,75274
2016-07,Train,Sgl Trip Rail Child/Youth,19564
2016-08,Bus,Adult,14080864
2016-08,Bus,Adult Single Bus Trip 1,213548
2016-08,Bus,Adult Single Bus Trip 2,149890
2016-08,Bus,Adult Single Bus Trip 3,60625
2016-08,Bus,Child/Youth,1034488
2016-08,Bus,Child/Youth Single Bus Trip 1,85540
2016-08,Bus,Child/Youth Single Bus Trip 2,52781
2016-08,Bus,Child/Youth Single Bus Trip 3,15864
2016-08,Bus,Concession,2168046
2016-08,Bus,Employee,73112
2016-08,Bus,Free Travel,32202
2016-08,Bus,School Student,3135595
2016-08,Bus,Senior/Pensioner,4108217
